Age,3rd,5th,10th,25th,50th,75th,85th,90th,95th,97th
"2–2.49 years",14.15,14.32,14.66,15.34,16.09,17.05,17.6,18.04,18.61,19.13
"2.5–2.99 years",13.81,14.13,14.48,15.18,15.99,16.79,17.31,17.69,18.25,18.69
"3.0–3.49 years",13.62,13.8,14.27,14.99,15.76,16.57,17.33,17.64,18.42,18.83
"3.5–3.99 years",13.49,13.58,13.88,14.66,15.55,16.44,16.88,17.27,17.84,18.52
"4.0–4.49 years",13.51,13.71,14.1,14.75,15.52,16.39,16.98,17.49,18.53,18.91
"4.5–4.99 years",13.34,13.67,13.92,14.48,15.35,16.2,16.75,17.23,18.27,19.08
"5.0–5.49 years",13.24,13.47,13.8,14.45,15.33,16.46,17.08,17.72,19.36,19.73
"5.5–5.99 years",13.18,13.46,13.77,14.52,15.27,16.56,17.54,18.77,19.98,20.31
"6.0–6.49 years",13.07,13.46,13.9,14.34,15.22,16.23,16.88,17.28,18.34,19.32
"6.5–6.99 years",13.17,13.36,13.63,14.29,15.13,16.24,17.16,17.71,18.74,19.66
"7.0–7.49 years",13,13.56,13.87,14.51,15.37,16.52,17.18,17.81,19.22,19.95
"7.5–7.99 years",13.28,13.64,13.84,14.6,15.39,16.72,17.8,18.51,19.66,21.44
"8.0–8.49 years",13.4,13.61,14.06,14.78,15.71,17.31,18.3,18.9,19.9,21.61
"8.5–8.99 years",13.47,13.76,14.22,14.91,15.83,17.48,18.63,19.71,21.54,23.1
"9.0–9.49 years",13.79,14.09,14.46,15.19,16.33,18.13,19.04,20.1,22.88,24.25
"9.5–9.99 years",13.71,13.96,14.7,15.58,16.53,18.31,20.18,21.26,23.29,25.54
"10.0–10.49 years",13.5,13.8,14.27,15.41,16.66,18.51,19.93,20.99,23.18,23.78
"10.5–10.99 years",13.89,14.09,14.74,15.72,17.03,18.61,20.04,21.78,23.35,24.03
"11.0–11.49 years",13.94,14.45,14.91,16.16,17.87,20,21.38,22.43,24.71,26.99
"11.5–11.99 years",13.86,14.39,15.2,16.23,18.36,20.34,22.01,23.08,25.76,27.53
"12.0–12.49 years",14.62,14.77,15.49,16.6,18.41,20.75,22,22.74,25.1,27.12
"12.5–12.99 years",14.95,15.19,15.81,17.24,18.77,21.28,23.58,24.7,26.59,28.01
"13.0–13.49 years",15.07,15.42,16.13,17.47,18.96,21.55,23.37,24.39,28.47,30.26
"13.5–13.99 years",14.8,15.6,16.32,17.77,19.62,21.96,23.71,24.76,27.83,30.03
"14.0–14.49 years",16.05,16.39,16.75,18.04,19.77,22.37,24.62,25.76,29.13,32.17
"14.5–14.99 years",16.27,16.68,17.48,18.51,20.47,22.83,24.52,25.89,27.69,29.43
"15.0–15.49 years",16.53,16.77,17.37,18.51,20.03,22.29,24.01,25.57,28.54,29.85
"15.5–15.99 years",16.75,17.19,17.59,19.06,20.43,22.47,23.86,25.02,27.14,30.18
"16.0–16.49 years",16.97,17.71,18.22,19.1,20.62,22.83,25.7,26.46,29.68,31.77
"16.5–16.99 years",17.17,17.65,18.17,19.31,21.05,23.39,25.22,26.5,29.33,32.19
"17.0–17.49 years",16.77,17.11,17.61,19.2,21.08,23.59,25.15,26.88,30.27,32.29
"17.5–17.99 years",17.41,17.92,18.71,19.89,21.71,23.9,25.41,26.8,30.27,33.63
"18.0–18.49 years",16.44,16.59,18.36,19.55,20.99,23.28,24.45,26.22,32.55,34.02
"18.5–18.99 years",16.7,17.58,18.21,19.28,21.6,23.66,24.32,26,28.88,28.88
"19.0–19.49 years",16.79,17.71,18.08,19.03,21.46,23.66,25.65,27.22,28.98,31.46
"19.5–19.99 years",18.29,18.67,19.19,20.31,21.69,24.13,25.99,29.34,32.51,33.89
