"Cause of death (females, 10–14 years)",Number
"All causes",1268
"Accidents (unintentional injuries)",268
"Intentional self-harm (suicide)",203
"Malignant neoplasms",183
"Congenital malformations, deformations and chromosomal abnormalities",83
"Assault (homicide)",51
"Diseases of heart",44
"Influenza and pneumonia",41
"Chronic lower respiratory diseases",27
"Cerebrovascular diseases",24
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",18
"All other causes",326
